"Statistic Label","Year","Sex","Citizenship","UNIT","VALUE"
"Estimated Immigration (Persons in April)","1996","Both sexes","All Countries","Thousand","39.2"
"Estimated Immigration (Persons in April)","1996","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5"
"Estimated Immigration (Persons in April)","1996","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1996","Both sexes","United Kingdom","Thousand","8.3"
"Estimated Immigration (Persons in April)","1996","Both sexes","Ireland","Thousand","17.7"
"Estimated Immigration (Persons in April)","1996","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","8.2"
"Estimated Immigration (Persons in April)","1996","Male","All Countries","Thousand","18.8"
"Estimated Immigration (Persons in April)","1996","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.2"
"Estimated Immigration (Persons in April)","1996","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1996","Male","United Kingdom","Thousand","4.3"
"Estimated Immigration (Persons in April)","1996","Male","Ireland","Thousand","8.2"
"Estimated Immigration (Persons in April)","1996","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4"
"Estimated Immigration (Persons in April)","1996","Female","All Countries","Thousand","20.4"
"Estimated Immigration (Persons in April)","1996","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.8"
"Estimated Immigration (Persons in April)","1996","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1996","Female","United Kingdom","Thousand","3.9"
"Estimated Immigration (Persons in April)","1996","Female","Ireland","Thousand","9.5"
"Estimated Immigration (Persons in April)","1996","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4.2"
"Estimated Immigration (Persons in April)","1997","Both sexes","All Countries","Thousand","44.5"
"Estimated Immigration (Persons in April)","1997","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.5"
"Estimated Immigration (Persons in April)","1997","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1997","Both sexes","United Kingdom","Thousand","8.4"
"Estimated Immigration (Persons in April)","1997","Both sexes","Ireland","Thousand","20.8"
"Estimated Immigration (Persons in April)","1997","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","9.7"
"Estimated Immigration (Persons in April)","1997","Male","All Countries","Thousand","22"
"Estimated Immigration (Persons in April)","1997","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.5"
"Estimated Immigration (Persons in April)","1997","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1997","Male","United Kingdom","Thousand","4.6"
"Estimated Immigration (Persons in April)","1997","Male","Ireland","Thousand","10.2"
"Estimated Immigration (Persons in April)","1997","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","4.7"
"Estimated Immigration (Persons in April)","1997","Female","All Countries","Thousand","22.6"
"Estimated Immigration (Persons in April)","1997","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.1"
"Estimated Immigration (Persons in April)","1997","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1997","Female","United Kingdom","Thousand","3.8"
"Estimated Immigration (Persons in April)","1997","Female","Ireland","Thousand","10.7"
"Estimated Immigration (Persons in April)","1997","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","5.1"
"Estimated Immigration (Persons in April)","1998","Both sexes","All Countries","Thousand","46"
"Estimated Immigration (Persons in April)","1998","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.1"
"Estimated Immigration (Persons in April)","1998","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1998","Both sexes","United Kingdom","Thousand","8.6"
"Estimated Immigration (Persons in April)","1998","Both sexes","Ireland","Thousand","24.3"
"Estimated Immigration (Persons in April)","1998","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","7"
"Estimated Immigration (Persons in April)","1998","Male","All Countries","Thousand","22.7"
"Estimated Immigration (Persons in April)","1998","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.3"
"Estimated Immigration (Persons in April)","1998","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1998","Male","United Kingdom","Thousand","4.3"
"Estimated Immigration (Persons in April)","1998","Male","Ireland","Thousand","12.3"
"Estimated Immigration (Persons in April)","1998","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","3.7"
"Estimated Immigration (Persons in April)","1998","Female","All Countries","Thousand","23.3"
"Estimated Immigration (Persons in April)","1998","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.8"
"Estimated Immigration (Persons in April)","1998","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand",""
"Estimated Immigration (Persons in April)","1998","Female","United Kingdom","Thousand","4.4"
"Estimated Immigration (Persons in April)","1998","Female","Ireland","Thousand","11.9"
