"STATISTIC Label","Year","Single Year of Age","Sex","UNIT","VALUE"
"Population estimates from 1926","1926","All ages","Both sexes","Number","2971992"
"Population estimates from 1926","1926","All ages","Male","Number","1506889"
"Population estimates from 1926","1926","All ages","Female","Number","1465103"
"Population estimates from 1926","1926","Under 1 year","Both sexes","Number","55391"
"Population estimates from 1926","1926","Under 1 year","Male","Number","28084"
"Population estimates from 1926","1926","Under 1 year","Female","Number","27307"
"Population estimates from 1926","1926","1 year","Both sexes","Number","55876"
"Population estimates from 1926","1926","1 year","Male","Number","28374"
"Population estimates from 1926","1926","1 year","Female","Number","27502"
"Population estimates from 1926","1926","2 years","Both sexes","Number","58273"
"Population estimates from 1926","1926","2 years","Male","Number","29728"
"Population estimates from 1926","1926","2 years","Female","Number","28545"
"Population estimates from 1926","1926","3 years","Both sexes","Number","59050"
"Population estimates from 1926","1926","3 years","Male","Number","29872"
"Population estimates from 1926","1926","3 years","Female","Number","29178"
"Population estimates from 1926","1926","4 years","Both sexes","Number","59123"
"Population estimates from 1926","1926","4 years","Male","Number","30115"
"Population estimates from 1926","1926","4 years","Female","Number","29008"
"Population estimates from 1926","1926","5 years","Both sexes","Number","60334"
"Population estimates from 1926","1926","5 years","Male","Number","30730"
"Population estimates from 1926","1926","5 years","Female","Number","29604"
"Population estimates from 1926","1926","6 years","Both sexes","Number","59937"
"Population estimates from 1926","1926","6 years","Male","Number","30678"
"Population estimates from 1926","1926","6 years","Female","Number","29259"
"Population estimates from 1926","1926","7 years","Both sexes","Number","56040"
"Population estimates from 1926","1926","7 years","Male","Number","28401"
"Population estimates from 1926","1926","7 years","Female","Number","27639"
"Population estimates from 1926","1926","8 years","Both sexes","Number","53418"
"Population estimates from 1926","1926","8 years","Male","Number","26982"
"Population estimates from 1926","1926","8 years","Female","Number","26436"
"Population estimates from 1926","1926","9 years","Both sexes","Number","54904"
"Population estimates from 1926","1926","9 years","Male","Number","27973"
"Population estimates from 1926","1926","9 years","Female","Number","26931"
"Population estimates from 1926","1926","10 years","Both sexes","Number","57306"
"Population estimates from 1926","1926","10 years","Male","Number","29343"
"Population estimates from 1926","1926","10 years","Female","Number","27963"
"Population estimates from 1926","1926","11 years","Both sexes","Number","58483"
"Population estimates from 1926","1926","11 years","Male","Number","29829"
"Population estimates from 1926","1926","11 years","Female","Number","28654"
"Population estimates from 1926","1926","12 years","Both sexes","Number","60297"
"Population estimates from 1926","1926","12 years","Male","Number","30676"
"Population estimates from 1926","1926","12 years","Female","Number","29621"
